path,detector,facial_landmarker,landmarks,time,face_boxes
my_images\10.jpeg,dnn_frontol_face,dlib_facial_landmark,null,['null'],[]
my_images\10.jpeg,dnn_frontol_face,cnn_facial_landmark,null,['null'],[]
my_images\2.jpg,mtcnn,dlib_facial_landmark,"[(449, 268), (448, 273), (447, 279), (447, 285), (447, 290), (448, 296), (449, 302), (450, 306), (454, 307), (458, 308), (464, 306), (469, 304), (474, 300), (477, 295), (479, 289), (481, 282), (482, 276), (451, 269), (452, 268), (454, 268), (456, 269), (458, 270), (461, 271), (465, 271), (468, 271), (471, 272), (474, 274), (458, 276), (457, 281), (456, 285), (454, 290), (452, 289), (454, 291), (455, 293), (457, 292), (459, 291), (453, 274), (454, 274), (456, 274), (457, 275), (455, 275), (454, 275), (463, 277), (465, 276), (467, 277), (469, 277), (467, 278), (465, 278), (450, 295), (451, 295), (453, 296), (454, 297), (455, 297), (458, 297), (461, 298), (457, 298), (455, 299), (453, 299), (452, 298), (451, 297), (451, 295), (453, 297), (454, 298), (455, 298), (460, 298), (455, 298), (454, 298), (452, 297)]",0.0029921531677246094,"[(438, 250, 43, 62)]"
my_images\2.jpg,mtcnn,cnn_facial_landmark,"[(438, 274), (437, 279), (436, 284), (436, 289), (436, 294), (437, 300), (439, 305), (441, 309), (445, 312), (452, 312), (459, 310), (466, 307), (473, 304), (478, 298), (481, 292), (483, 285), (485, 278), (438, 266), (439, 265), (442, 265), (444, 266), (447, 268), (452, 268), (456, 267), (461, 267), (466, 269), (469, 272), (448, 273), (447, 277), (445, 280), (443, 284), (442, 287), (443, 288), (445, 289), (447, 289), (450, 289), (439, 272), (441, 271), (444, 272), (446, 273), (443, 274), (441, 273), (456, 275), (459, 274), (461, 275), (464, 276), (461, 276), (458, 276), (440, 296), (441, 294), (443, 294), (444, 294), (446, 294), (450, 296), (455, 298), (450, 301), (446, 301), (444, 301), (442, 300), (441, 298), (441, 296), (443, 296), (445, 296), (446, 296), (453, 298), (446, 298), (444, 298), (443, 297)]",0.02592945098876953,"[(438, 250, 43, 62)]"
my_images\2.jpg,haar_cascade,dlib_facial_landmark,null,['null'],[]
my_images\2.jpg,haar_cascade,cnn_facial_landmark,null,['null'],[]
my_images\2.jpg,dlib_hog_based,dlib_facial_landmark,null,['null'],[]
my_images\2.jpg,dlib_hog_based,cnn_facial_landmark,null,['null'],[]
my_images\2.jpg,dnn_frontol_face,dlib_facial_landmark,null,['null'],[]
my_images\2.jpg,dnn_frontol_face,cnn_facial_landmark,null,['null'],[]
my_images\3.jpg,mtcnn,dlib_facial_landmark,"[(205, 99), (203, 110), (203, 122), (203, 133), (207, 143), (213, 150), (221, 155), (228, 159), (235, 160), (241, 160), (245, 156), (249, 152), (253, 148), (256, 142), (259, 135), (260, 129), (261, 122), (219, 101), (225, 97), (232, 97), (239, 100), (245, 103), (252, 105), (257, 105), (261, 106), (264, 109), (264, 114), (248, 111), (248, 115), (248, 119), (248, 123), (236, 127), (240, 129), (244, 131), (247, 131), (250, 130), (225, 109), (230, 109), (233, 110), (236, 111), (233, 112), (229, 111), (250, 115), (255, 116), (257, 117), (259, 119), (257, 119), (254, 118), (227, 137), (234, 135), (239, 135), (241, 137), (244, 137), (246, 139), (248, 142), (245, 143), (242, 143), (239, 142), (237, 142), (232, 140), (229, 137), (238, 138), (241, 139), (244, 140), (246, 142), (243, 138), (240, 138), (238, 138)]",0.0030188560485839844,"[(206, 78, 59, 80)]"
my_images\3.jpg,mtcnn,cnn_facial_landmark,"[(206, 104), (205, 112), (205, 121), (205, 130), (208, 138), (213, 145), (220, 150), (227, 155), (235, 157), (242, 156), (248, 154), (253, 150), (258, 145), (261, 139), (264, 132), (266, 125), (268, 119), (221, 100), (227, 98), (233, 98), (238, 99), (244, 103), (253, 105), (257, 105), (262, 105), (265, 107), (267, 110), (247, 111), (246, 115), (246, 119), (246, 123), (237, 127), (240, 128), (243, 130), (246, 130), (248, 129), (226, 109), (230, 110), (234, 110), (237, 111), (233, 111), (230, 111), (252, 114), (255, 115), (258, 116), (261, 117), (258, 117), (255, 116), (228, 136), (234, 134), (239, 133), (242, 135), (244, 135), (247, 137), (249, 140), (245, 142), (242, 143), (239, 142), (236, 142), (232, 139), (230, 136), (238, 136), (241, 137), (244, 137), (247, 140), (243, 139), (240, 139), (238, 138)]",0.02981853485107422,"[(206, 78, 59, 80)]"
